Název,Adresa,Lat.,Lon.,Followers,events
Heligonka,Vítkovická 3367/42,49.8193,18.2819,193,0
Microna,Československého exilu 1888/4,50.0163,14.4037,193,0
U Malého Glena,Karmelitská 23,50.0868,14.4036,189,21
Petrohradská kolektiv,Petrohradská 438/13,50.0649,14.4523,182,40
Centrála,Jateční 39,50.1007,14.4515,181,0
Letiště Letňany,Hůlkova 35,50.1275,14.5274,177,0
Café NONA,Národní 4,50.0813,14.415,177,0
Šelepova No. 1,Šelepova 1,49.2127,16.5938,171,0
Klub K2,Sokolský ostrov 462/1,48.9752,14.4698,168,2
IMAX,Vinohradská 151,50.0789,14.4611,165,0
Palác Lucerna,Štěpánská 61,50.0809,14.4264,160,77
Cinestar Anděl,Radlická 1e,50.0712,14.4016,158,333
Letní kino Občanská plovárna,U Plovárny 8,50.0929,14.4143,157,0
U Kouřícího králíka,Křídlovická 1,49.1888,16.5949,145,0
Amfi – letní scéna DK Poklad,Matěje Kopeckého 675/21,49.8271,18.1672,144,0
Zelný trh,Zelný trh,49.1926,16.6087,144,0
Exit Club,Náměstí Svobody 17,49.1942,16.6082,142,0
Slezskoostravský hrad,Hradní 1,49.8304,18.2998,141,29
Galerie AMU,Malostranské náměstí 12,50.0877,14.4023,139,0
360° Lounge Bar,Panská 9,50.084,14.4279,139,0
Riegrovy sady – Zahrádky,Riegrovy sady 28,50.0808,14.4427,138,1
Goja Music Hall,Výstaviště Praha Holešovice,50.1081,14.4317,119,0
Galerie Josefa Sudka,Úvoz 24,50.0883,14.3948,118,4
Klub Vzorkovna,Národní 339/11,50.0817,14.416,117,0
Galerie Trojský kůň,Vodácká ulice,50.1148,14.4374,117,0
Divadlo Radka Brzobohatého,Opletalova 919/5,50.0815,14.4296,111,0
Starý židovský hřbitov,Široká 3,50.0893,14.417,105,0
Už jsme doma – cafe bar & drum gallery,Uralská 6,50.1021,14.4019,104,0
Tržnice Brno,Zelný trh 14–16,49.1926,16.6083,101,0
Luxor FTC,Roháče z Dubé 494,50.6914,14.5341,99,0
Biograf Troja u vody,Vodácká,50.114,14.4218,95,0
Vodárenská věž Letná,Na Výšinách 1,50.1002,14.4199,82,4
Staronová synagoga,Červená,50.09,14.4185,80,0
Moravské náměstí,Moravské náměstí,49.1997,16.6066,78,2
Žižkov BeerGarden,Koněvova 1686/112,50.09,14.4675,75,0
Pražská křižovatka,Zlatá 211,50.0887,14.4156,71,3
Zázemí 2,Michalská 12,50.0851,14.4201,71,0
Muzeum města Brna,Špilberk 1,49.1948,16.5993,69,13
Lapidárium Národního muzea,Výstaviště 422,50.1056,14.4315,69,1
Betlémská kaple,Betlémské nám. 255/4,50.0842,14.418,68,6
Kino Varšava,Frýdlantská 285,50.7709,15.0567,65,10
Stará Tkalcovna,Bratislavská 52,49.1996,16.6204,61,0
Dům kultury Liberec,náměstí Soukenné 613,50.7654,15.0535,57,0
Phill's Backyard,Komunardů 32,50.104,14.4501,54,0
Palác šlechtičen,Kobližná 1,49.1954,16.6089,49,0
Home of AV,Krabošická 45,49.9805,14.6323,47,17
TIC BRNO,Panenská 1,49.1944,16.6056,41,0
Moravské divadlo Olomouc,Horní náměstí 22,49.5934,17.2505,39,0
VI PER,Vítkova 293/2,50.0897,14.4464,39,0
Stará vodárna,K Vodárně 327,50.113,14.325,38,0
Obilní trh,Obilní trh,49.1989,16.597,38,0
Byt Huga Semlera,Klatovská 19,49.7432,13.3724,37,32
Letní kino Etáž,Moravská Ostrava 3369,49.8218,18.2778,37,0
Národní kulturní památka Vyšehrad,V Pevnosti 5b,50.063,14.423,36,72
Biograf Betlémský,Betlémské nám. 255/4,50.0843,14.4175,34,5
"Jabloň, scéna malých forem",Krátká 2,49.7476,13.3622,34,0
Studio Maiselovka,Maiselova 4,50.0881,14.419,30,16
Městské divadlo Zlín,Třída Tomáše Bati 4091/32,49.2253,17.6691,28,0
Náplavka café & music bar,nám. 5. května 835/10,50.214,15.8262,26,0
GASK,Barborská 1,49.9461,15.2641,25,3
Muzeum církevního umění plzeňské diecéze,Františkánská 11,49.7452,13.3787,25,1
Koupaliště Riviéra,Bauerova 322/7,49.1881,16.5692,25,0
Černé divadlo Praha,Rytířská 31,50.0855,14.4228,24,0
ProDivadlo,Wilsonova 300/8,50.0833,14.4351,23,0
Salesiánské divadlo,Kobyliské náměstí 1,50.1235,14.4513,23,0
Divadlo kouzel Pavla Kožíška,Mírové náměstí 44,50.1932,14.4929,23,0
Národopisné muzeum Plzeňska,Náměstí republiky 13,49.7468,13.3786,22,1
Pivovarské muzeum v Plzni,Veleslavínova 58/6,49.7488,13.3807,22,0
SVK PK (hlavní budova),Smetanovy sady 2,49.7452,13.3755,22,0
Klicperovo divadlo,Dlouhá 99/9,50.2109,15.8342,21,1
Patton Memorial Plzeň,Pobřežní 10,49.75,13.3735,21,0
Divadlo Za plotem,Ústavní 249,50.1346,14.419,20,0
RouBike,K modřanskému nádraží 4,49.9973,14.406,19,0
Artamo restaurace – galerie,Čelakovského 5,49.738,13.3787,19,0
Komunitní centrum Jasoň ,Putimská 716/4,49.993,14.4637,18,1
Unlock The Door,Zahradní 173/2,49.7366,13.3859,18,0
ESC Room,Kardinála Berana 37,49.7417,13.3703,18,0
Fresh Air Gallery – galerie v podchodu,Resslova,49.7419,13.3774,18,0
Archiv Národního divadla,Anénské náměstí 2,50.0852,14.4149,17,0
Muzeum knihtisku a knihy v Plzni,Plovární ulice 20,49.7358,13.3798,16,0
M-klub,Macháčkova 28,49.7453,13.327,16,0
Neo Prague,Ječná 509/12,50.0754,14.4232,14,0
Host'n'Host,Malostranská 1,49.7256,13.3904,14,0
D klub,Zábělská tř. 54B,49.7583,13.4223,14,0
Liberecká přehrada,Liberecká přehrada,50.7687,15.0708,13,0
Evropský dům,náměstí Republiky 12,49.7469,13.3786,13,0
Bistromill,Na Roudné 445/16,49.7529,13.3804,12,0
Na Rampě,Jiráskova 1,50.7234,15.1721,12,0
Kostel Nanebevzetí Panny Marie,Františkánská 121/11,49.7452,13.3787,12,0
Fakulta právnická ZČU,sady Pětatřicátníků 320/14,49.7472,13.3741,12,0
Zámek Zbraslav,Bartoňova 2,49.9781,14.3923,11,1
Klub Loděnice,Raabova,50.2944,14.8342,11,0
Start Up Coffee,Palackého 337/14,49.748,13.3717,11,0
Skautský institut v Plzni,Americká 29,49.7436,13.3767,11,0
Kino Sirkus,Příkopy 178,49.2311,13.5174,11,0
Cult Hifi Bar,"Šmeralova 272/22, Holešovice 170 00",50.1017,14.4222,10,6
Divadelní studio Neklid,Ruská 827/60,50.0724,14.4598,10,0
Krašovská Aktivity centrum Plzeň,Krašovská 1696/30,49.7785,13.3554,10,0
Knihovna Západočeské univerzity v Plzni,Univerzitní 18,49.7251,13.3513,10,0
Městské divadlo v Mostě,Divadelní 15,50.5016,13.6418,9,0
Městské sady Ústí nad Labem,Městské sady,50.667,14.0278,8,0
Kulturní dům Hronovická,Hronovická 406,50.0345,15.7765,8,0
Zámek Mělník,Svatováclavská 16/19,50.3508,14.4731,8,0
Letní scéna Michalovická Putna,Podlázky 45,50.4356,14.8888,7,0
Ještěd,Horní Hanychov 153,50.7326,14.9846,7,0
Turistické informační centrum,Náměstí Republiky 290/41,49.7482,13.3775,7,0
Beer Factory,Dominikánská 8,49.7488,13.3776,7,0
Kostel Všech svatých,Pod Všemi svatými,49.7562,13.3783,7,0
Kostel svatého Jakuba,Jakubské náměstí,49.1965,16.608,7,0
Galerie Emila Filly,Velká Hradební 19,50.6623,14.0396,6,6
Dům pánů z Lipé,Náměstí Svobody 17,49.1942,16.6082,6,0
Areál Bolfánek,,49.4596,13.1626,6,0
Kino Metro 70, Školní 3694,49.4735,17.1106,6,0
Hotel Intercontinental,Pařížská 30,50.0914,14.4183,6,0
V břiše velryby,"nám. Míru 1387, 293 01",50.4118,14.909,5,1
Automat,Zábrdovická 2,49.202,16.6291,5,0
Spaza,Haškova 4,50.1,14.4284,5,0
Kino Vatra Vsetín,náměstí Svobody 2076,49.3382,17.9947,5,0
Hrad Houska,Houska 1,50.4911,14.6288,5,0
Jazz Rock Dominik Café,Dominikánská 3,49.7485,13.3768,5,0
Muzeum kouzel,Jana Palacha 473,50.028,15.771,4,0
Sally Brown,Kopeckého sady 152/15,49.7445,13.3763,4,0
DVD Karlov,Na Pomezí 22,49.7347,13.3486,4,0
Výzkumný ústav veterinárního lékařství,Hudcova 296/70,49.2373,16.5798,3,3
Městské divadlo Bruntál,Partyzánská 275,49.986,17.4662,3,0
Imperial Hotel,Tyršova 6,49.8343,18.2899,3,0
Věznice Uherské Hradiště,Politických vězňů,49.0688,17.4647,2,3
Scalní letňák: Janáček,Rooseveltova 31/7,49.1983,16.611,2,2
Kulturní dům Mrákotín,"Mrákotín čp. 49, 588 54 Mrákotín",49.1899,15.3708,2,1
Přírodní divadlo Doksy,Skalní,50.1211,14.0406,2,0
Euphoria Music Club,Argentinská 702/1,50.0987,14.4429,2,0
Dejvické divadlo,Zelená 15a,50.1067,14.3932,1933,2
Divadlo NoD,Dlouhá 33,50.0907,14.4259,1865,21
Vnitroblock,Tusarova 791/31,50.1019,14.4493,1666,3
Kino Lucerna,Vodičkova 36,50.081,14.4255,1604,23
Kino Pilotů,Donská 19,50.0714,14.4468,1350,56
Kino Scala,Moravské náměstí 3,49.1975,16.6082,1315,13
Café Neustadt,Karlovo náměstí 1/23,50.0782,14.4211,971,0
