Název,Adresa,Lat.,Lon.,Followers,events 
Korunní pevnůstka,17. listopadu 939/7,49.5922,17.2584,33,2
Kostel Nejsvětějšího srdce Páně,Jiřího z Poděbrad 19,50.078,14.4508,33,2
Světova 1,Světova 1,50.1059,14.471,33,1
KV Arena,Západní 1812/73,50.2247,12.8445,33,0
Negrelliho viadukt – Karlín,Prvního pluku 19,50.0914,14.4419,33,0
FreeMasonic Club Pub,Týnská 10,50.0886,14.4238,33,0
Cinema City Galaxie,Arkalycká 1,50.0315,14.5289,33,0
Kostel svatého Martina ve zdi,Martinská 8,50.0831,14.4199,32,79
Stadion Strahov,Zátopkova 2,50.0804,14.3856,32,12
Chuchle Arena Praha,Radotínská 69/34,50.009,14.3895,32,5
Koncertní sál Pražské konzervatoře,Na Rejdišti 1,50.0905,14.4157,32,3
Zámek Valtice,Zámek 1,48.7395,16.7556,32,2
Czech Boat,Dvořákovo nábřeží,50.0929,14.4214,32,2
Café Jen,Kodaňská 37,50.0714,14.456,32,0
Galeryje 9,Lidická 9,49.2011,16.6074,32,0
Malkovich Bar,Bořivojova 100,50.0827,14.447,32,0
DIOD,Tyršova 1565/12,49.3987,15.5843,31,5
Studio G,Chelčického 691/8,49.8381,18.2864,31,4
Dům kultury Kladno,náměstí Sítná 3127,50.1354,14.1029,31,1
Forum Mladá Boleslav,17. listopadu 1296,50.4311,14.9221,31,1
CineStar Opava,U Fortny 49/10,49.9409,17.9007,30,258
Středisko volného času Lužánky,Lidická 50,49.2065,16.6067,30,17
Konvikt – Umělecké centrum UP,Univerzitní 3,49.5947,17.2553,30,2
Malé divadlo,Hradební 289/18,48.9772,14.4756,30,2
Divadlo Karla Hackera,Klapkova 26,50.1241,14.4561,30,2
Akademie věd ČR,Národní 3,50.0815,14.4142,30,1
Bar Smutek,Park Radost,50.0846,14.4441,30,0
Pavilon Grébovka,Havlíčkovy sady 2218,50.0701,14.4447,30,0
Hotel Avion,Česká 20,49.1967,16.6061,30,0
Light Cube gallery,Křížkovského 572,49.1873,16.5873,30,0
Galerie Aula,Rybářská 13,49.1864,16.5883,30,0
Loreta,Loretánské náměstí 7,50.0893,14.3916,29,4
Technologické centrum UMPRUM,Mikulandská 134/5,50.0813,14.4178,29,3
Autonomní sociální centrum Klinika,Jeseniova 60,50.0877,14.4666,29,0
Galerie SVIT,Blanická 9,50.0755,14.4389,29,0
Kavárna Potmě,Náměstí republiky,50.0883,14.4288,29,0
XT4 Pivnice,Vlkova 619/41,50.0841,14.4493,29,0
Divadlo na cucky,Dolní náměstí 42,49.5923,17.2523,28,9
Památník národního písemnictví,Pelléova 44/22,50.1024,14.4078,28,3
Ephemeron,Běhounská 18,49.197,16.6095,28,0
Metro-bar.cz,Pekařská 24,49.1922,16.6019,28,0
Moment,Slezská 62,50.0762,14.4473,28,0
Divadelní studio “V”,Veveří 944/133,49.2101,16.5871,27,5
Veřejný sál Hraničář,Prokopa Diviše 1812/7,50.6635,14.0327,27,2
Jeruzalémská synagoga,Jeruzalémská 7,50.0847,14.432,27,2
Zahrádka na Střeláku,Pisárecká 7,49.1924,16.5648,27,1
Schovaná kavárna,Zbrojnická 114/6,49.7461,13.379,27,0
The Club,Ve Smečkách 31,50.08,14.4275,27,0
Panoptikon Barikáda,Náměstí Barikád 1,50.0879,14.4611,27,0
Semlerova rezidence,Klatovská třída 721/110,49.7332,13.3699,26,222
První Patro,Dominikánská 342/19,0.0,0.0,26,2
Galerie Zdeněk Sklenář – Schönkirchovský palác,Mikulandská 135/7,50.0815,14.4177,26,1
Meditační zahrada,Plzeň 3,49.7099,13.3885,26,1
Déjávu Music Bar,Jakubská 6,50.0881,14.4254,26,0
Podzemní kryt Jeseniova,Jeseniova 38,50.0862,14.4603,26,0
Galerie Jiřího Trnky,nám. Republiky 40,49.7493,13.3774,26,0
Galerie moderního umění v Hradci Králové,Velké nám. 139 ,50.2098,15.8343,25,9
Muzeum loutek,Náměstí republiky 137/23,49.7463,13.3769,25,3
Pivovar Staropramen,Nádražní 43/84,50.0685,14.4066,25,1
Prašná brána,Náměstí republiky 5,50.0875,14.4272,25,1
Výčep Kabelovna,Dělnická 27,50.1036,14.4481,25,0
Vacuum art bar,Vršovická 23,50.0662,14.4513,25,0
Green Music Bar,Vinohradská 28,50.0777,14.4371,25,0
Literární kavárna Řetězová,Řetězová 10,50.0856,14.4183,25,0
Klub Hvězda,Zvoníčkova 5,50.0854,14.3492,25,0
Městské kulturní středisko Vodňany,Zeyerovy sady 963,49.1456,14.177,24,13
Loď Kamina,Nábřeží na Františku/Dvořákovo nábřeží,50.0934,14.4246,24,6
Folimanka,Park Folimanka,50.0669,14.4281,24,1
Chvalský zámek,Na Chvalské tvrzi 857,50.1113,14.5956,24,1
Retenční nádrž Braník,Vltavanů,50.0263,14.4028,24,0
Norma space,Podskalská 370/31,50.0712,14.415,24,0
Lednicko-valtický areál,Lednicko-valtický areál,48.808,16.812,24,0
konText,Radnická 4,49.1934,16.6086,24,0
Galerie U Dobrého pastýře,Radnická 4,49.1934,16.6086,24,0
Divadlo Image,Národní 25,50.0824,14.4181,23,3
Anděl,Anděl,50.0719,14.4039,23,1
KU Bar Lounge,Rytířská 13,50.0844,14.4212,23,1
I Need Coffee,Na Moráni 7,50.0736,14.4161,23,0
Klub Kocour,Jandova 4,50.1118,14.5026,23,0
Kávovarna,Štěpánská 61,50.0809,14.4265,23,0
XXL Disco club,Koliště 71,49.1922,16.6156,23,0
Pracovna,Vlkova 36,50.0837,14.4479,22,3
Loď Odra,Rašínovo nábřeží,50.0699,14.4146,22,2
Sapa Praha,Sapa,50.0031,14.4714,22,1
Chotkovy sady,Chotkovy sady,50.0941,14.4077,22,1
Koruna Pub,Mongolská 1529,49.8278,18.1891,22,0
Automatické mlýny,Mezi Mosty 436,50.0416,15.7822,22,0
Hala 70,Kolbenova 499/42,50.1104,14.5171,22,0
Galerie Azyl,Veleslavínova 17,49.7488,13.3782,22,0
Mázhaus plzeňské radnice,náměstí Republiky 1/1,49.7481,13.377,22,0
Pohoda club,Na Severním sídlišti 1151,49.66,14.4205,21,5
Grandhotel Ambassador Národní dům,T. G. Masaryka 1088/24,50.2301,12.8698,21,4
Bucheck,Zelný trh 18,49.1928,16.6088,21,0
Music Club Pepe Lopez,Na Příkopě 25,50.0862,14.4261,21,0
JumpPark,Na Jarově 2,50.088,14.4907,21,0
Uhelný mlýn,Areál Šroubáren 859/860,50.1985,14.3677,20,191
Kostel sv. Mikuláše,Staroměstské náměstí,50.0879,14.4199,20,74
Studiová scéna Na Půdě,Dr. Stejskala 19 ,48.9723,14.4745,20,9
Synagoga Agudas achim,Skořepka 247,49.1928,16.6177,20,2
Klondike Music Club,Pec pod Sněžkou 139,50.6958,15.7378,20,1
Kostel sv. Václava,Kostelní nám. 3172/1,49.8355,18.295,20,1
Náměstí Republiky,náměstí Republiky 1,50.0883,14.4291,20,1
Letiště Milovice,"Letiště Milovice, 28924",50.2403,14.9059,20,1
Pálffyho Palác,Valdštejnská 14,50.0905,14.4058,20,1
Hala 19,Kolbenova 923/34,50.1105,14.5111,20,0
Polansky Gallery,Lidická 26,49.2022,16.6076,20,0
Ta Magika,Musorgského 14A,49.8367,18.2846,20,0
Kafe Karlín,Sokolovská 51,50.0929,14.4459,20,0
Two Faces Cocktail Bar & Cafe,Dominikánská 7,49.1933,16.6067,20,0
El Sombrero,Zelný trh 20,49.1929,16.6092,20,0
Institut Paměti národa Pardubice,"Machoňova pasáž, Třída Míru 60",50.0371,15.7751,19,172
Městské divadlo Kladno,Divadelní 1702,50.1442,14.1064,19,165
Palladium,Náměstí Republiky 1,50.089,14.4286,19,96
Dům kultury Ostrov,Mírové náměstí 733,50.3082,12.949,19,49
Café Club Míšeňská,Míšeňská 71/3,50.0876,14.408,19,13
Výstaviště Flora,Wolkerova 37/17,49.5884,17.2455,19,2
Becherova vila,KráleJiřího 1196/9,50.2262,12.8747,19,1
Šapitó v Björnsonových sadech,Björnsenův sad,49.2071,16.5938,19,0
Kolbenova 912,Kolbenova 912,50.1109,14.5114,19,0
Ouky Douky Coffee,Janovského 14,50.1003,14.4348,19,0
Mlýnská Kavárna,Všehrdova 449/14,50.0827,14.4068,19,0
Race Club,Langrova 1d,49.1793,16.6795,19,0
La Fuente,Národní obrany 13,50.0995,14.3999,19,0
Cinema City Chodov,Roztylská 2321/19,50.0321,14.491,18,261
Výstavní síň 13,Pražská 13,49.748,13.3799,18,15
Malostranské náměstí,Malostranské náměstí,50.0875,14.4045,18,4
Artpark,Alšovo nábřeží 12,50.0902,14.4152,18,3
H55,Hloubětínská 1138/5,50.1039,14.5345,18,2
Wortnerův dům,U Černé věže 22,48.9766,14.476,18,1
Areál za Lužánkami,Královo Pole,49.2172,16.6115,18,1
Eaternia,Nádražní 349/3,50.0656,14.4076,18,1
Skautský institut v Brně,Moravské náměstí 12,49.1997,16.6058,18,1
EXPO 58,Letenské sady 1500/80,50.0964,14.4299,18,1
Zoo Ostrava,Michálkovická 2081/197,49.8439,18.3116,18,0
V. Hole,Železničářů 204/6,50.1064,14.4404,18,0
Reformát,U Studánky 29,50.1016,14.4247,18,0
Luftova zahrada,Za rybárnou,49.7137,13.3793,18,0
Zvuk,Krymská 14,50.0714,14.4486,18,0
Krutónpolis,Hradešínská 47,50.074,14.4577,18,0
Ponton,Alšovo nábř. 4,50.0879,14.414,18,0
Galerie u Andělíčka,Veleslavínova 30,49.749,13.3781,18,0
Visio Art Gallery,Na Roudné 18,49.7531,13.3804,18,0
Bohemia Club,Sokolovská 1332,49.8365,18.1824,18,0
Reston Music Club,Sokolovská 152,50.0999,14.4705,18,0
Institut paměti národa Brno,Radnická 10,49.1931,16.6086,17,172
Grand Hotel Bohemia,Králodvorská 652/4,50.0878,14.4267,17,94
Galerie Harfa,Českomoravská 2420,50.1038,14.4913,17,37
Kupe,Janská 3014/7,49.9331,17.9102,17,17
Kulturní centrum Babylon,Kounicova 686/22,49.2036,16.6002,17,4
Kafe Smetanka,Náměstí Milady Horákové 622/18,49.7236,13.4,17,3
ArtMap Praha,Vojtěšská 18,50.0792,14.4154,17,2
Letiště Boží Dar,Boží dar,50.242,14.918,17,2
Rock Hill Music Club,28. října 258/296,49.826,18.2434,17,1
Cafedu,Škrétova 12,50.0785,14.4323,17,1
Náměstí Míru,náměstí Míru,49.7314,13.3709,17,0
Náš klub,Husinecká 29,50.0858,14.4464,17,0
La Frenchie,Smetanovy Sady 332/6,49.7454,13.3746,17,0
Paper Hub,Dělnická 43,50.1034,14.4505,17,0
Supraphon Musicpoint,Jungmannovo nám. 754/17,50.0832,14.4232,17,0
Komunitní centrum na Žižkově,Náměstí barikád 1,50.0879,14.4611,17,0
CemaCema,Milíčova 415/5,50.0848,14.4508,17,0
La Bohème Café,Sázavská 32,50.0768,14.4408,17,0
Café Exil,Bubenečská 10,50.0989,14.4045,17,0
Koleje Strahov,Vaníčkova,50.0803,14.393,17,0
Arto.to,Areál Šroubáren 860,50.1974,14.3708,16,157
Strahovský klášter,Strahovské nádvoří 1,50.0861,14.3888,16,3
Středočeské Muzeum v Roztokách u Prahy,Zámek 1,50.1584,14.3988,16,2
Dva kohouti,Sokolovská 81/55 ,50.0932,14.4468,16,1
Lokál Pod Divadlem,Bezručova 34,49.7459,13.374,16,0
Studijní a vědecká knihovna Plzeňského kraje,Smetanovy sady 2,49.7452,13.3755,16,0
V Melounovém cukru,Františkánská 17,49.193,16.6123,16,0
Wine Food Market,Strakonická 1,50.0632,14.4106,16,0
"Whiskey Bar, který neexistuje",Gorkého 98/58,49.1993,16.5916,16,0
Bistro Boule za ušima,Tyršova 31,49.8372,18.2862,16,0
5m²,Pekařská 76,49.1918,16.5976,16,0
Nádraží bubny,Bubenská 177/8 b,50.1023,14.4386,16,0
(A)void Café,Rašínovo nábřeží,50.0749,14.4136,16,0
El Paso,Šroupova 4,49.8363,18.2855,16,0
Studio Bubec,Tělovýchovná 748,50.0297,14.313,16,0
Palanca,Karoliny Světlé 12,50.0826,14.415,16,0
Periferie Cafe,Branická 49,50.0371,14.4124,16,0
Restart,Palackého 78,49.2235,16.5952,16,0
MUD,Malé náměstí 74,49.7837,14.691,15,2
UFFO Trutnov,Náměstí republiky 999,50.5634,15.9103,15,2
Nová Akropolis Plzeň,Purkyňova 12,49.7414,13.3777,15,2
Kostel sv. Vavřince,Hellichova 18,50.0847,14.4035,15,2
Národní dům na Smíchově,Náměstí 14. října 82/16,50.0738,14.4076,15,1
Obřadní síň,U Starého hřbitova 3a,50.09,14.4174,15,1
Šálek & Špunt Na Náplavce,Anglické nábřeží,49.7444,13.3805,15,0
Star Club Flip,Gahurova 5265,49.2244,17.6606,15,0
Stromoffka,Gerstnerova 7/656/9,50.1029,14.4262,15,0
Proti proudu,Březinova 22,50.0945,14.4561,15,0
Booze & Food,Tusarova 31,50.1019,14.4493,15,0
Event Space E,Kolbenova 923/34,50.1105,14.5111,15,0
Nevinný bar,Smetanovy sady 4,49.7453,13.3749,15,0
Cover Place,Generála Janouška 1060/2,50.1032,14.565,15,0
Ex Post,Příčná 1,50.0778,14.4226,15,0
Muzeum strašidel,Náměstí republiky 33,49.7475,13.3766,15,0
Loutkové divadlo V Boudě,Macháčkova 28,49.7453,13.327,15,0
Camp Žižkov Prague,Nad ohradou 17,50.0921,14.4732,15,0
Kavárna Kočičí Praha,Michalská 3 ,50.0846,14.4198,15,0
Cafe Frida,Karlínské náměstí,50.0911,14.4476,15,0
Shadow Cafe Karlín,Křižíkova 134/58,50.0931,14.4545,15,0
Café Montmartre,Řetězová 7,50.0856,14.4178,15,0
Black & White,Starobrněnská 3,49.1924,16.6071,15,0
Klub Červ,Pod plynojemem 5,50.0993,14.4703,15,0
Italský kulturní institut,Šporkova 14,50.0877,14.3975,15,0
Prádelna,Hradební 83,48.8088,14.3148,14,16
Kulturní centrum Průhon,Socháňova 27,50.0651,14.3017,14,6
Zámecký areál Ctěnice,Bohdanečská 259/1,50.1487,14.5643,14,5
Infocentrum Špička,V Pevnosti,50.0632,14.4217,14,3
Dundee Jam,nám. Svobody 1626,50.1437,14.0946,14,2
Galerie umění Karlovy Vary,Goethova stezka 6,50.2172,12.887,14,2
Katedrála Božského Spasitele, náměstí Msgre. Šrámka,49.8356,18.2888,14,1
La Degustation Bohême Bourgeoise,Haštalská 18,50.091,14.4251,14,0
Suteren Gallery,Moravské nám. 629/4,49.1973,16.6078,14,0
Galerie Artikle,Masná 27/9 ,49.1843,16.6266,14,0
Podnik café bar,Peroutková 5,49.1923,16.6074,14,0
Park Berounka,Radotínská,49.9643,14.3265,14,0
Nanovo,Týnská ulička 627/8,50.0886,14.4222,14,0
Slowone,Lidická 702/23,49.202,16.607,14,0
Nádraží Praha-Bubeneč,Goetheho 16000,50.1065,14.4057,14,0
MakeMake,Poštovská 8,49.1946,16.6102,14,0
Freshlabels Sustainable Store Praha,Milady Horákové 11,50.0991,14.4325,14,0
Made in Brasil,Štefánikova 55,50.0776,14.404,14,0
Cafe Cafe,Rytířská 10,50.0845,14.4218,14,0
Musictown Record Store,Ondříčkova 321/22,50.0799,14.4515,14,0
Byt Krausových,Bendova 10,49.7412,13.3703,13,138
Art Restaurant Mánes,"Masarykovo nábř. 250/1, 110 00 Nové Město",50.0775,14.4141,13,25
Kulturní dům Kyje,Šimanovská 47,50.0977,14.5438,13,15
Chaberská Pergola,Dvorní 1211/1a,50.1478,14.447,13,2
Novomlýnská vodárenská věž,Nové mlýny 827/3A,50.0923,14.4283,13,2
Humanita Jazz Food Cinema,Novákových 489/20,50.1036,14.4763,13,1
DKO Jihlava,Tolstého 1455/2,49.3998,15.5873,13,1
Studijní a dokumentační centrum Norbertov,Nad Hradním vodojemem 53/13,50.0924,14.3772,13,1
Nádraží Vyšehrad,Svobodova 86/2,50.0677,14.4201,13,1
Kulturní centrum Líšeň,Klajdovská 28,49.2092,16.6935,13,1
A Maze in Tchaiovna,Kafkova 607/18,50.0989,14.3972,13,1
Slezské divadlo,Horní náměstí 13,49.9391,17.9011,13,0
Studio FAMU,Klimentská 1205/4,50.0915,14.4286,13,0
Typika,Svatoslavova 21,50.0621,14.4427,13,0
Kohout na víně,Malinovského náměstí 2 ,49.1963,16.6146,13,0
Kafe Komedie,Jungmannova 1,50.0794,14.4221,13,0
SIGNAL Dome Klárov,"Památník Okřídleného lva, U Železné lávky 12",50.0911,14.4108,13,0
Kafe v kufru,Moravská 893/10,50.0743,14.4417,13,0
Muzeum Těšínska - Archeopark,Chotěbuzská,49.7656,18.5903,13,0
Garage store,Veverkova 6,50.0982,14.4322,13,0
Alza Music Club,Argentinská 702/1,50.0987,14.4429,13,0
Česká Lípa ,,50.683,14.5366,13,0
FreeStyle Park Modřany,Vltavanů ,50.0311,14.398,13,0
AnonymouS Bar,Michalská 12,50.0852,14.4201,13,0
Řezáčovo náměstí,Řezáčovo náměstí,50.1009,14.4359,12,43
KC Rychta Klecany,U školky 74,50.1751,14.4145,12,5
Českobratrský evangelický chrám Jana Amose Komenského,Komenského náměstí 2,49.1978,16.6033,12,3
Slovanský dům,Na Příkopě 22,50.0864,14.4274,12,2
Purkmistr,Selská náves 21/2,49.6988,13.414,12,2
Náměstí Přemysla Otakara II.,Náměstí Přemysla Otakara II.,48.975,14.4746,12,2
Kostel sv. Václava,náměstí 14. října 17,50.0733,14.4055,12,2
Heaven gym,nám. Přemysla Otakara II. 123/36,48.9745,14.4741,12,1
Music Club Max,náměstí Republiky 146,49.563,15.9405,12,1
Roxy Club Třebíč,Kpt. Jaroše 736/6,49.2224,15.8844,12,1
Nuuk – sauna a osvěžovna,U slepého ramene Labe,50.1869,15.8171,12,1
Dům kultury Šumperk,Fialova 3,49.964,16.9796,12,1
Starý královský palác,Třetí nádvoří Pražského hradu 48/2,50.0905,14.4012,12,1
Milenium Tábor,"Kpt. Nálepky 2397, 390 03 Tábor",49.4203,14.6506,12,0
Zoo Olomouc,Darwinova 29,49.6367,17.3443,12,0
Terminál Žižkov,Jana Želivského 2385/11,50.0857,14.47,12,0
D-Club Dyleň,Kollárova 707/7,49.9578,12.7005,12,0
Domeček Stromovka,Královská obora 74,50.1063,14.4191,12,0
Národní památník hrdinů heydrichiády,Resslova 307,50.076,14.4176,12,0
Galerie 209,Údolní 53,49.1982,16.5924,12,0
Tvoje máma,Holandská 52 ,50.0692,14.4579,12,0
Ústav pro dějiny umění FF UK,Celetná 20,50.087,14.4242,12,0
Kulturárium Café,Beethovenova 3,49.1962,16.61,12,0
Overtime,Lidická 691/3,49.2005,16.6075,12,0
Institut Cervantes,Na Rybníčku 536/6,50.0761,14.4252,12,0
Loď Bastei,Výtoň,50.0674,14.4146,12,0
Nacafe,Šmeralova 390/15,50.1017,14.4218,12,0
Zkušebna Vroutek,Karlovarská 128,50.1799,13.3796,11,3
Český rozhlas Ostrava,Dr. Šmerala 1626/2 ,49.8375,18.2924,11,1
Kostel sv. Ignáce z Loyoly,Ječná 505/2,50.0755,14.4218,11,1
Kostel sv. Jana Nepomuckého,Klatovská 45,49.7381,13.3709,11,1
Bubenská 1,Bubenská 1,50.0982,14.4366,11,1
River Rink Karlín,Karolinská 8,50.0943,14.4461,11,0
Bar v Krymský,Krymská 294,50.0716,14.4486,11,0
Donátův mlýn,Soutice 34,49.7292,15.0587,11,0
Kampa Park,Na Kampě 8b,50.0874,14.4093,11,0
Ramen Brno,Václavská 16,49.189,16.5956,11,0
Archiv výtvarného umění – Pod Terebkou,Pod Terebkou 15,50.0628,14.4378,11,0
Vozovna Střešovice,Patočkova 4,50.0942,14.3899,11,0
AntHill,Americká 39,50.0742,14.4366,11,0
Univerzita Hradec Králové,Hradecká 1227,50.2037,15.8301,11,0
kaš-mi-daš,Pod Nuselskými schody 1721/3,50.0687,14.4358,11,0
Freshlabels Sustainable Store Praha,Milady Horákové 452/11,50.099,14.431,11,0
Klárov,Klárov,50.0908,14.4101,11,0
Vodpočívarna,Lodnická – zátoka,50.0229,14.3981,11,0
Areál bývalého pivovaru Braník,Údolní 212/1,50.0297,14.4094,11,0
Radotín – Říční Lázně,K lázním 1795,49.9808,14.3589,11,0
Coffee Room,Korunní 74,50.0752,14.4513,11,0
Baryton Café,Husinecká 29,50.0858,14.4464,11,0
Kavárna Blatouch,Americká 17,50.0725,14.4382,11,0
Galerie Ratolest,Třída Kpt. Jaroše 7b,49.201,16.6106,11,0
Vagóny metra na trase B,Praha,50.0835,14.4246,11,0
Café Nábřeží,Hořejší nábřeží,50.0709,14.4109,11,0
Maďarské kulturní středisko,Rytířská 25-27,50.0847,14.4217,11,0
Bílý koníček,Staroměstské náměstí 20,50.087,14.4214,11,0
Velký svět techniky,Vítkovická 3004,49.8195,18.2826,10,11
Divadlo Na Maninách,Na Maninách 1525/32a,50.1037,14.4527,10,8
Rock Café Southock,Bělá 1069,49.5789,18.7638,10,5
Městské divadlo Mladá Boleslav,Palackého 263,50.4155,14.907,10,2
Pomezí,Kounicova 7,49.1994,16.6049,10,2
Letohradská 10,Letohradská 10,50.0988,14.4294,10,2
Kulturní dům Bílá Hora,Ke kulturnímu domu 439/14,50.0725,14.319,10,2
Scholastika,Římská 103/12,50.0778,14.4332,10,2
Toskánský palác,Hradčanské nám. 182/5,50.0888,14.3948,10,2
Jungmannovo náměstí,Jungmanno náměstí,50.0834,14.423,10,2
Zámek Hradec nad Moravicí,Městečko 2,49.8654,17.8742,10,2
Restaurace Loděnice Ostrava,Slezská Ostrava 2086,49.843,18.3057,10,1
Pasáž českého designu,Na Příkopě 860/24,50.0864,14.4282,10,1
Trabant muzeum,Plzeňská 215 b,50.0679,14.3489,10,1
Kotelna,Kapitána Jaroše 1129,49.8737,16.307,10,1
Czech Boat,Na Františku,50.0931,14.4238,10,1
Monolok cafe,Moravská 18,50.0743,14.443,10,1
Acid Coffee,Dukelských hrdinů 500/25a,50.0984,14.4327,10,0
OrWell,Braunerova 483/5,50.1126,14.475,10,0
Cafe Tvaroh,Šmeralova 22,50.1017,14.4223,10,0
Hospitál Kuks,Kuks 81,50.3976,15.8894,10,0
Osada,Osadní 35,50.1045,14.4466,10,0
Faine,Janáčkovo náměstí 2a,49.201,16.6037,10,0
Prazelenina,Varhulíkové 13,50.1118,14.4509,10,0
Rebelbean,Smetanova 5,49.2011,16.6009,10,0
The Garrison Bar,Kurta Konráda 20/507,50.1058,14.4875,10,0
STRV,Rohanské nábřeží 678,50.0939,14.4467,10,0
Most Legií,Most Legií ,50.0814,14.41,10,0
Auditorium OVK ŽMP,Maiselova 15,50.0896,14.4182,10,0
Footshop,Tusarova 31,50.1019,14.4493,10,0
Jewel Café Bar,Rytířská 3,50.0841,14.4208,10,0
Barrocko Music Club,1.Máje 236,49.6805,18.6686,10,0
Praha Černý Most,Chlumecká,50.109,14.5745,10,0
Cukrkávalimonáda,Lázeňská 7,50.0866,14.4055,10,0
Pitomá kavárna – Vršovice,V Olšinách 29,50.0714,14.4843,10,0
Paměť národa na Strahově,Vaníčkova 100/6,50.0823,14.3877,9,13
Plovárna Volyně,Nábřeží Dr. Kafky,49.1663,13.8932,9,13
Hořejší nábřeží,Hořejší nábřeží,50.07,14.4104,9,11
Mama Shelter Prague,Veletržní 1502/20,50.1024,14.4317,9,9
Everything,náměstí Republiky 56,50.0375,15.7768,9,5
Kuchyň,Hradčanské náměstí 1,50.0892,14.3977,9,4
Zámecký park Ostrov,Jáchymovská 1,50.3031,12.9405,9,3
Loretánské náměstí,Loretánské náměstí,50.0881,14.3919,9,3
Zámek Stránov, Jizerní Vtelno 83,50.3727,14.8558,9,3
HYB4 Hudba,Hybernská 4,50.0871,14.4299,9,2
Kalina Gallery,Veselá 39,49.1964,16.6056,9,2
Muzeum Karlovy Vary,Nová louka 23,50.2203,12.8797,9,2
Kulturní dům Ústí nad Orlicí,Smetanova 510,49.9726,16.3968,9,2
Augustiniánské opatství,Mendlovo náměstí 157/1,49.1916,16.5949,9,1
Bold Gallery,U Měšťanského pivovaru 6a,50.1058,14.448,9,1
Drn,Národní 135/14,50.0816,14.4174,9,1
Kotlaska,Nad Kotlaskou 1,50.1068,14.4784,9,1
Zámecký areál Břeclav,Pod zámkem,48.7594,16.8758,9,1
Cubex Centrum Praha,Na Strži 2097/63,50.0495,14.4392,9,1
Na Fráni Šrámka 5,Fráni Šrámka 5,49.8269,18.261,9,1
Klub Attic,Ukrajinská 283,50.6005,13.6026,9,1
KD Dobříš,Mírové náměstí 68,49.7813,14.1673,9,1
Studio DK,Nekvasilova 625/2,50.0956,14.4682,9,1
Zámek Kačina,Svatý Mikuláš 51,49.9821,15.3463,9,1
Sokolovna Řepy,Na Chobotě 125/2b,50.068,14.2951,9,1
Právnická fakulta Univerzity Karlovy,Náměstí Curiových 7,50.0917,14.4175,9,1
Zahrada Savarin,Na Příkopě 852/10,50.0849,14.4251,9,0
Czechitas,Škrobárenská 511/3,49.1857,16.6258,9,0
Cyberdog,Seydlerova 2835/​4,50.0507,14.3491,9,0
Aukční dům Zezula,Hlinky 59/142C,49.1931,16.5735,9,0
Bethesda Bar,Kamenická 544/21,50.0992,14.4276,9,0
Institut úzkosti,Masarykovo nábř. 32,50.0795,14.4141,9,0
Lokál Nad Stromovkou,Nad Královskou oborou 232/31,50.103,14.4184,9,0
Bistro U Veselé kozy,Nadražní 2a,50.0499,14.4099,9,0
Císařská kuchyně – Hájenka,Obora Hvězda,50.0823,14.3315,9,0
La Bouchée,Údolní 33,49.1977,16.5988,9,0
Praga Square,Kolbenova 923/34,50.1105,14.5111,9,0
Nadace a Centrum pro současné umění Praha,Dukelských hrdinů 500/25a,50.0984,14.4327,9,0
Plevel,Krymská 2,50.0716,14.4472,9,0
Plecnik,náměstí Jiřího z Poděbrad 10,50.0786,14.4507,9,0
Blondies bar,Jungmannova 750/34,50.0826,14.4224,9,0
Přestupní stanice,Chelčického 17,50.0833,14.4559,9,0
ROH družstevní kavárna,U božích bojovníků 606/3,50.0872,14.4495,9,0
Santini Garden,Jánský vršek 323/13,50.0879,14.3985,9,0
Jack Daniels Musician Factory,Tusarova 791/31,50.1019,14.4493,9,0
U Hrdinů,Dukelských hrdinů 46,50.1027,14.4329,9,0
Café Trilobit,Zborovská 567/37,50.0783,14.407,9,0
Kavárna Park,Kamenická 56,50.1028,14.4261,9,0
Sklad Kolbenova,Kolbenova 159/5,50.1108,14.508,9,0
Dům čtení,Ruská 1455,50.0723,14.4834,9,0
U-Klub,Šmeralova 1122/12,49.5918,17.265,9,0
Mánesova Bar and Books,Mánesova 64,50.0776,14.4441,9,0
Havana Vieja Club,Vinohradská 35/25,50.0783,14.4361,9,0
Loutkové divadlo Špalíček,Zábělská 54b,49.7583,13.4223,9,0
Ateliér grafického designu FaVU VUT Brno,Rybářská 13,49.1864,16.5883,9,0
Centrum Společnosti Franze Kafky,Široká 14,50.0891,14.418,9,0
Konec Konců,Římská 45,50.0767,14.4383,9,0
U chlupatýho ducha,Konviktská 6,50.0829,14.4148,9,0
Baron Prášil,Kodaňská 22,50.0707,14.4584,9,0
Kostel sv. Františka,U Habrovky 2,50.0409,14.4476,9,0
Lidový dům,Toužimská 244,50.1346,14.5495,9,0
Jo's bar a Garáž,Malostranské náměstí 7,50.0877,14.4032,9,0
GAMPA – Galerie města Pardubic,Příhrádek 5,50.0405,15.7791,8,17
Anti.kvariát Dejvického divadla,Zelená 15a,50.1068,14.3933,8,6
H40 Cafe,Bubenské nábřeží 306/13,50.0984,14.4453,8,4
Divadlo Apollo,Korunní 926/30,50.0752,14.4428,8,2
Institut umění – Divadelní ústav,Celetná 17,50.0872,14.4248,8,2
Na Rampě,Kollárova 707/7,49.9578,12.7005,8,2
Pivní bar Zichovec,5. května 2789,50.3508,13.8181,8,1
Admi Music Hall,Tržní 421,50.5985,13.6152,8,1
